Open,High,Low,Close,Volume ,DATE,Time,is_swing_low,is_swing_high,datetime,ts,support,resistance
115.039,115.124,115.007,115.09,986.75,2022-01-03,00:00:00,,false,2022-01-03T00:00:00.000000,1641168000000,,
115.09,115.154,115.082,115.142,2171.2,2022-01-03,01:00:00,,false,2022-01-03T01:00:00.000000,1641171600000,,
115.14,115.291,115.121,115.279,4026.05,2022-01-03,02:00:00,,false,2022-01-03T02:00:00.000000,1641175200000,,
115.278,115.278,115.181,115.212,2261.54,2022-01-03,03:00:00,,false,2022-01-03T03:00:00.000000,1641178800000,,
115.208,115.276,115.206,115.275,1832.67,2022-01-03,04:00:00,,false,2022-01-03T04:00:00.000000,1641182400000,,
115.275,115.302,115.248,115.275,1798.2,2022-01-03,05:00:00,false,false,2022-01-03T05:00:00.000000,1641186000000,,
115.276,115.302,115.267,115.269,919.98,2022-01-03,06:00:00,false,false,2022-01-03T06:00:00.000000,1641189600000,,
115.274,115.313,115.272,115.307,1709.69,2022-01-03,07:00:00,false,false,2022-01-03T07:00:00.000000,1641193200000,,
115.306,115.361,115.306,115.334,2676.86,2022-01-03,08:00:00,false,,2022-01-03T08:00:00.000000,1641196800000,,
115.334,115.341,115.266,115.29,1984.68,2022-01-03,09:00:00,false,true,2022-01-03T09:00:00.000000,1641200400000,,
115.289,115.307,115.239,115.259,3656.21,2022-01-03,10:00:00,false,true,2022-01-03T10:00:00.000000,1641204000000,,
115.26,115.272,115.147,115.173,3792.84,2022-01-03,11:00:00,false,false,2022-01-03T11:00:00.000000,1641207600000,,
115.174,115.174,115.058,115.08,4019.93,2022-01-03,12:00:00,false,false,2022-01-03T12:00:00.000000,1641211200000,,
115.078,115.094,114.992,115.065,3746.94,2022-01-03,13:00:00,false,false,2022-01-03T13:00:00.000000,1641214800000,,
115.064,115.14,115.049,115.067,3080.74,2022-01-03,14:00:00,false,false,2022-01-03T14:00:00.000000,1641218400000,,
115.067,115.166,114.946,115.146,5822.06,2022-01-03,15:00:00,true,false,2022-01-03T15:00:00.000000,1641222000000,,
115.146,115.334,115.137,115.303,10043.68,2022-01-03,16:00:00,true,false,2022-01-03T16:00:00.000000,1641225600000,,
115.303,115.366,115.259,115.293,5852.29,2022-01-03,17:00:00,false,true,2022-01-03T17:00:00.000000,1641229200000,,
115.291,115.336,115.241,115.265,2711.45,2022-01-03,18:00:00,false,false,2022-01-03T18:00:00.000000,1641232800000,,
115.265,115.337,115.257,115.317,945.95,2022-01-03,19:00:00,false,false,2022-01-03T19:00:00.000000,1641236400000,,
115.321,115.323,115.267,115.278,980.2,2022-01-03,20:00:00,false,false,2022-01-03T20:00:00.000000,1641240000000,,
115.277,115.335,115.26,115.334,1328.33,2022-01-03,21:00:00,false,false,2022-01-03T21:00:00.000000,1641243600000,,
115.332,115.348,115.263,115.342,1281.66,2022-01-03,22:00:00,false,false,2022-01-03T22:00:00.000000,1641247200000,,
115.341,115.356,115.31,115.31,1647.6,2022-01-03,23:00:00,false,false,2022-01-03T23:00:00.000000,1641250800000,,
115.31,115.352,115.3,115.314,4772.14,2022-01-04,00:00:00,false,false,2022-01-04T00:00:00.000000,1641254400000,,
115.313,115.356,115.289,115.33,2072.13,2022-01-04,01:00:00,false,false,2022-01-04T01:00:00.000000,1641258000000,,
115.33,115.433,115.289,115.389,5910.68,2022-01-04,02:00:00,false,false,2022-01-04T02:00:00.000000,1641261600000,,
115.388,115.484,115.341,115.417,4251.87,2022-01-04,03:00:00,false,false,2022-01-04T03:00:00.000000,1641265200000,,
115.416,115.627,115.404,115.596,3641.25,2022-01-04,04:00:00,false,false,2022-01-04T04:00:00.000000,1641268800000,,
115.594,115.814,115.559,115.708,8859.48,2022-01-04,05:00:00,false,false,2022-01-04T05:00:00.000000,1641272400000,,
115.707,115.811,115.703,115.787,4814.43,2022-01-04,06:00:00,false,false,2022-01-04T06:00:00.000000,1641276000000,,
115.786,115.8,115.741,115.747,4318.08,2022-01-04,07:00:00,false,false,2022-01-04T07:00:00.000000,1641279600000,,
115.746,115.802,115.704,115.8,3816.06,2022-01-04,08:00:00,false,false,2022-01-04T08:00:00.000000,1641283200000,,
115.8,115.8,115.653,115.737,6628.62,2022-01-04,09:00:00,false,false,2022-01-04T09:00:00.000000,1641286800000,,
115.736,115.853,115.71,115.842,5977.49,2022-01-04,10:00:00,false,false,2022-01-04T10:00:00.000000,1641290400000,,
115.843,115.888,115.791,115.828,4361.24,2022-01-04,11:00:00,false,false,2022-01-04T11:00:00.000000,1641294000000,,
115.828,115.896,115.808,115.894,3600.61,2022-01-04,12:00:00,false,false,2022-01-04T12:00:00.000000,1641297600000,,
115.896,116.172,115.894,116.146,6874.73,2022-01-04,13:00:00,false,false,2022-01-04T13:00:00.000000,1641301200000,,
116.144,116.352,116.127,116.304,9205.6,2022-01-04,14:00:00,false,true,2022-01-04T14:00:00.000000,1641304800000,,
116.305,116.345,116.238,116.261,8505.57,2022-01-04,15:00:00,false,true,2022-01-04T15:00:00.000000,1641308400000,,
116.259,116.337,116.229,116.234,6853.29,2022-01-04,16:00:00,false,true,2022-01-04T16:00:00.000000,1641312000000,,
116.237,116.258,116.037,116.139,8101.9,2022-01-04,17:00:00,false,true,2022-01-04T17:00:00.000000,1641315600000,,
