zone_level,support_touches,resistance_touches,total_touches,strength
147.783,1254,1255,2509,1254
147.631,1269,1252,2521,1252
147.666,1253,1252,2505,1252
147.586,1271,1251,2522,1251
147.664,1254,1251,2505,1251
147.672,1251,1253,2504,1251
147.582,1271,1250,2521,1250
147.584,1271,1250,2521,1250
147.622,1267,1250,2517,1250
147.711,1250,1267,2517,1250
147.604,1263,1250,2513,1250
147.644,1263,1250,2513,1250
147.649,1262,1250,2512,1250
147.729,1250,1261,2511,1250
147.682,1250,1260,2510,1250
147.58,1270,1249,2519,1249
147.634,1267,1249,2516,1249
147.652,1264,1249,2513,1249
147.647,1264,1249,2513,1249
147.577,1272,1248,2520,1248
147.574,1272,1248,2520,1248
147.578,1271,1248,2519,1248
147.618,1266,1248,2514,1248
147.635,1266,1248,2514,1248
147.709,1248,1264,2512,1248
147.654,1264,1248,2512,1248
147.708,1248,1263,2511,1248
147.685,1248,1260,2508,1248
147.789,1248,1256,2504,1248
147.57,1270,1247,2517,1247
147.615,1267,1247,2514,1247
147.609,1265,1247,2512,1247
147.601,1264,1247,2511,1247
147.6,1264,1247,2511,1247
147.64,1263,1247,2510,1247
147.594,1263,1247,2510,1247
147.73,1247,1261,2508,1247
147.686,1247,1260,2507,1247
147.748,1247,1257,2504,1247
147.803,1247,1255,2502,1247
147.568,1268,1246,2514,1246
147.613,1267,1246,2513,1246
147.599,1264,1246,2510,1246
147.704,1246,1263,2509,1246
147.769,1246,1260,2506,1246
147.732,1246,1260,2506,1246
147.771,1246,1259,2505,1246
147.768,1246,1259,2505,1246
147.74,1246,1258,2504,1246
147.804,1246,1256,2502,1246
147.801,1246,1254,2500,1246
147.802,1246,1254,2500,1246
147.763,1245,1260,2505,1245
147.766,1245,1259,2504,1245
147.82,1245,1258,2503,1245
147.745,1245,1257,2502,1245
147.814,1245,1254,2499,1245
147.767,1244,1260,2504,1244
147.816,1244,1255,2499,1244
147.567,1268,1243,2511,1243
147.564,1268,1243,2511,1243
147.813,1243,1254,2497,1243
147.565,1267,1242,2509,1242
147.546,1265,1242,2507,1242
147.552,1263,1242,2505,1242
147.547,1266,1241,2507,1241
147.555,1263,1241,2504,1241
147.538,1264,1240,2504,1240
147.553,1264,1239,2503,1239
147.83,1239,1263,2502,1239
147.523,1254,1239,2493,1239
147.542,1263,1238,2501,1238
147.834,1237,1259,2496,1237
147.836,1236,1260,2496,1236
147.531,1260,1236,2496,1236
147.526,1254,1236,2490,1236
147.532,1260,1235,2495,1235
147.52,1256,1234,2490,1234
147.521,1255,1234,2489,1234
147.518,1255,1232,2487,1232
147.838,1231,1257,2488,1231
147.839,1231,1255,2486,1231
147.515,1258,1230,2488,1230
147.514,1258,1229,2487,1229
147.841,1228,1256,2484,1228
147.512,1256,1227,2483,1227
147.844,1227,1254,2481,1227
147.503,1259,1224,2483,1224
147.508,1254,1223,2477,1223
147.507,1254,1223,2477,1223
147.497,1260,1222,2482,1222
147.505,1257,1222,2479,1222
147.466,1272,1221,2493,1221
147.465,1272,1221,2493,1221
147.467,1271,1221,2492,1221
147.464,1271,1221,2492,1221
147.472,1271,1220,2491,1220
147.459,1268,1220,2488,1220
147.458,1268,1220,2488,1220
147.493,1264,1220,2484,1220
147.478,1272,1219,2491,1219
147.451,1267,1219,2486,1219
147.865,1218,1245,2463,1218
147.857,1218,1244,2462,1218
147.45,1267,1217,2484,1217
147.87,1216,1245,2461,1216
147.86,1216,1243,2459,1216
147.485,1271,1215,2486,1215
147.488,1268,1215,2483,1215
147.872,1215,1245,2460,1215
147.861,1215,1243,2458,1215
147.859,1215,1242,2457,1215
147.446,1265,1213,2478,1213
147.885,1212,1248,2460,1212
147.877,1212,1246,2458,1212
147.882,1211,1250,2461,1211
147.879,1211,1246,2457,1211
147.883,1210,1250,2460,1210
147.88,1210,1249,2459,1210
147.887,1210,1247,2457,1210
147.436,1266,1205,2471,1205
147.894,1205,1246,2451,1205
147.892,1205,1245,2450,1205
147.897,1203,1248,2451,1203
147.898,1202,1248,2450,1202
147.431,1270,1201,2471,1201
147.428,1267,1201,2468,1201
147.899,1201,1248,2449,1201
147.429,1269,1200,2469,1200
147.426,1267,1200,2467,1200
147.925,1199,1243,2442,1199
147.43,1270,1198,2468,1198
147.902,1198,1243,2441,1198
147.919,1198,1243,2441,1198
147.926,1198,1243,2441,1198
147.901,1198,1242,2440,1198
147.905,1198,1241,2439,1198
147.907,1198,1241,2439,1198
147.916,1198,1241,2439,1198
147.92,1197,1244,2441,1197
147.918,1197,1241,2438,1197
147.935,1196,1236,2432,1196
147.936,1195,1235,2430,1195
147.938,1193,1234,2427,1193
147.939,1193,1233,2426,1193
147.421,1264,1192,2456,1192
147.415,1261,1191,2452,1191
147.411,1261,1190,2451,1190
147.95,1190,1234,2424,1190
147.409,1259,1189,2448,1189
147.408,1258,1189,2447,1189
147.945,1189,1236,2425,1189
147.944,1189,1236,2425,1189
147.962,1189,1232,2421,1189
147.947,1188,1236,2424,1188
147.96,1186,1235,2421,1186
147.964,1186,1230,2416,1186
147.966,1186,1229,2415,1186
147.959,1185,1235,2420,1185
147.4,1257,1184,2441,1184
147.968,1184,1230,2414,1184
147.971,1183,1224,2407,1183
147.397,1254,1180,2434,1180
147.393,1255,1178,2433,1178
147.388,1257,1176,2433,1176
147.39,1256,1176,2432,1176
147.982,1173,1223,2396,1173
147.984,1172,1222,2394,1172
147.378,1257,1170,2427,1170
147.999,1169,1221,2390,1169
147.998,1168,1220,2388,1168
147.374,1256,1167,2423,1167
147.373,1256,1167,2423,1167
147.997,1167,1220,2387,1167
148.008,1164,1220,2384,1164
148.009,1164,1218,2382,1164
147.308,1251,1163,2414,1163
147.264,1241,1163,2404,1163
148.01,1163,1218,2381,1163
147.368,1256,1162,2418,1162
147.31,1252,1162,2414,1162
147.306,1250,1162,2412,1162
147.27,1240,1162,2402,1162
147.367,1256,1161,2417,1161
147.319,1254,1161,2415,1161
147.277,1238,1161,2399,1161
148.013,1161,1217,2378,1161
148.019,1161,1217,2378,1161
147.327,1259,1160,2419,1160
147.322,1255,1160,2415,1160
147.364,1254,1160,2414,1160
147.304,1249,1160,2409,1160
147.292,1244,1160,2404,1160
147.257,1243,1160,2403,1160
148.018,1160,1216,2376,1160
148.037,1160,1215,2375,1160
148.041,1160,1212,2372,1160
147.33,1258,1159,2417,1159
147.334,1257,1159,2416,1159
147.365,1254,1159,2413,1159
148.042,1159,1211,2370,1159
147.349,1260,1158,2418,1158
147.345,1260,1158,2418,1158
147.346,1259,1158,2417,1158
147.336,1257,1158,2415,1158
147.343,1256,1158,2414,1158
147.289,1245,1158,2403,1158
147.255,1244,1158,2402,1158
148.027,1158,1217,2375,1158
148.045,1158,1211,2369,1158
147.252,1247,1157,2404,1157
148.025,1157,1218,2375,1157
148.03,1157,1217,2374,1157
148.035,1157,1214,2371,1157
147.361,1254,1156,2410,1156
147.283,1242,1156,2398,1156
147.36,1254,1155,2409,1155
147.247,1249,1153,2402,1153
147.238,1250,1150,2400,1150
147.239,1250,1150,2400,1150
147.23,1247,1150,2397,1150
147.233,1247,1149,2396,1149
148.061,1148,1207,2355,1148
147.232,1247,1147,2394,1147
147.215,1245,1147,2392,1147
147.224,1245,1146,2391,1146
147.223,1245,1146,2391,1146
147.207,1245,1139,2384,1139
148.072,1138,1208,2346,1138
148.074,1137,1205,2342,1137
147.197,1245,1133,2378,1133
148.093,1133,1208,2341,1133
148.08,1133,1206,2339,1133
148.099,1132,1205,2337,1132
148.096,1132,1203,2335,1132
148.088,1131,1206,2337,1131
148.107,1131,1200,2331,1131
147.193,1245,1130,2375,1130
148.087,1130,1207,2337,1130
147.19,1245,1129,2374,1129
147.182,1244,1129,2373,1129
148.1,1129,1205,2334,1129
147.184,1243,1128,2371,1128
148.113,1128,1197,2325,1128
148.112,1128,1197,2325,1128
148.118,1128,1196,2324,1128
147.179,1244,1127,2371,1127
148.111,1127,1202,2329,1127
148.103,1126,1203,2329,1126
148.115,1126,1197,2323,1126
147.175,1246,1122,2368,1122
147.172,1246,1120,2366,1120
148.127,1120,1187,2307,1120
148.135,1115,1180,2295,1115
148.139,1115,1178,2293,1115
148.147,1115,1169,2284,1115
148.143,1114,1175,2289,1114
148.149,1114,1168,2282,1114
147.166,1239,1113,2352,1113
148.146,1113,1169,2282,1113
148.156,1108,1165,2273,1108
147.158,1242,1107,2349,1107
148.159,1105,1165,2270,1105
148.161,1103,1164,2267,1103
148.165,1103,1163,2266,1103
148.167,1103,1162,2265,1103
147.151,1242,1102,2344,1102
148.168,1102,1160,2262,1102
147.149,1240,1099,2339,1099
147.147,1238,1097,2335,1097
147.144,1234,1096,2330,1096
148.176,1096,1149,2245,1096
148.178,1095,1144,2239,1095
148.179,1093,1144,2237,1093
147.141,1232,1090,2322,1090
148.183,1090,1143,2233,1090
148.185,1090,1143,2233,1090
147.137,1230,1086,2316,1086
148.209,1086,1133,2219,1086
148.206,1086,1133,2219,1086
148.234,1086,1125,2211,1086
148.195,1085,1135,2220,1085
147.131,1229,1084,2313,1084
148.222,1084,1126,2210,1084
148.226,1084,1125,2209,1084
